institution_name,institution_type,province,city,street,postal_code,phone,email,website,program_categories,is_public,directory_id,created_at,source
Supply Chain Management Association Alberta,training_provider,AB,Edmonton,100-10525 - 170 Street NW,T5P 4W2,,,,,True,113493ce-f86c-4a7a-b58c-e5489aae0f04,2026-01-10T13:15:04.371611+00:00,excel_import
Taking Flight International Corporation,training_provider,AB,Edmonton,205 Griesbach Road,T5E 6S5,(780) 473-6732,,http://takingflightinternational.com/,"Education, Community, IT",True,ea139ade-5cf5-4717-a1a0-4adaf94e887a,2026-01-10T13:15:04.372115+00:00,excel_import
Tes Canada Inc.,training_provider,AB,Calgary,3750 46 Ave SE #335,T2B 0L1,(587) 760-3200,,http://www.tesgroup.inc/,"Education, Healthcare, Business, IT",True,ed107902-f355-47fa-987d-76359ad23df7,2026-01-10T13:15:04.372621+00:00,excel_import
Alberta Ballet,training_provider,AB,Calgary,141 18 Avenue NW,T2S 0B8,(403) 245-2274,,http://www.albertaballetschool.com/?utm_source=google&utm_medium=gmbcalgary,"Education, Healthcare, IT, Arts",True,9b01bf27-f40b-43af-a499-d757df6905fa,2026-01-10T13:15:04.373131+00:00,excel_import
The Alberta Yoga College Inc.,college,AB,Calgary,2439 54 Avenue SW,T3E 1M4,(587) 228-7833,,http://www.albertayogacollege.com/,"Education, Healthcare, Business, IT",True,e4683238-9ed0-4484-bbe3-20da5bd31626,2026-01-10T13:15:04.375283+00:00,excel_import
The Canadian Hypnosis Academy,training_provider,AB,Red Deer,302 4406-50th Avenue,T4N 3Z6,(403) 334-9766,,https://www.hypnosisforhealthandhappiness.ca/,,True,8ded2ead-5fe5-4b4b-a15f-e69a9209622e,2026-01-10T13:15:04.375868+00:00,excel_import
The Northern Star College Of Mystical Studies Inc.,college,AB,Edmonton,155 Hawks Ridge Blvd.,T5S 0H5,(780) 447-3667,nsc@northernstarcollege.com,http://www.northernstarcollege.com/,"Education, Healthcare, IT",True,0e18f196-e3cc-4599-942a-3b865a474cc0,2026-01-10T13:15:04.376530+00:00,excel_import
The Prairie Finishing Trade Institute Inc.,training_provider,AB,Edmonton,17804 118 Ave NW,T5S 2W3,(416) 635-7300,,https://ftiontario.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP,"Education, Healthcare, Trades, IT",True,692af23a-298e-45b4-a2d0-212ac5e7ee94,2026-01-10T13:15:04.377123+00:00,excel_import
The Royal College Of Alberta,college,AB,Edmonton,150-10045 156 Street,T5P 2P7,(780) 479-8481,,https://concordia.ab.ca/,"Education, Healthcare, Business",True,c939dcf6-acf3-4b5e-9ac0-240da912d185,2026-01-10T13:15:04.377685+00:00,excel_import
The Western Institute Of Emergency Education Inc.,training_provider,AB,Vermilion,5208 46 Avenue,T9X 1X8,(780) 643-6163,,,,True,3ea51b49-461c-4644-bc4b-6075d84cbff3,2026-01-10T13:15:04.378236+00:00,excel_import
The Yk Career Education Society,training_provider,AB,Calgary,311 32 Westwinds Cres NE,T3J 5H2,(403) 921-4529,,,,True,5e7d1d71-c1d6-40c2-a359-3fa37994b8e8,2026-01-10T13:15:04.378872+00:00,excel_import
The Yoga Studio College Of Canada,college,AB,Calgary,209 3420 50th St. NW,T3A 2E1,(587) 228-7833,,http://www.albertayogacollege.com/,"Education, Healthcare, Business, IT",True,8bf2926f-60ee-4326-bdf2-225082e13c89,2026-01-10T13:15:04.379433+00:00,excel_import
Tnt Motor Cycling,training_provider,AB,Edmonton,232-6655  178 St,T5T 4J5,(780) 447-3264,,https://tntmotorcycling.com/,"Education, IT",True,07e32254-77a2-462d-87e4-f78b14d1f4b9,2026-01-10T13:15:04.380003+00:00,excel_import
True North Truck Training,training_provider,AB,Edmonton,202 8746 50 Avenue NW,T6E 5K8,(780) 528-9697,truenorthtrucktraining@outlook.com,https://truenorthtrucktraining.ca/,"Education, IT, Logistics",True,0a305e94-80dc-4fb2-81e9-750198c6512b,2026-01-10T13:15:04.380556+00:00,excel_import
Vicars School Of Massage Therapy,training_provider,AB,Edmonton,2828 Calgary Trail,T6J 6V7,(780) 491-0574,Welcome@VicarsSchool.com,https://vicarsschool.com/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=Edmonton,"Education, Healthcare, IT, Beauty",True,e9160884-9a25-47e6-ab69-929e91b7ce9b,2026-01-10T13:15:04.381118+00:00,excel_import
Video Tax News Inc.,training_provider,AB,Edmonton,220-9223  28 Avenue NW,T6N 1N1,(877) 438-2057,,,,True,e613e306-7bec-4815-aff1-1b62b4279881,2026-01-10T13:15:04.381663+00:00,excel_import
Wellness Hypnotherapy Institute,training_provider,AB,Edmonton,315 Livingston Court NW,T6R 2T1,(780) 977-4669,,https://www.edmontonhypnosissolutions.ca/,,True,abbd7ea4-82cd-4d01-9946-9ebcc1ef5bcc,2026-01-10T13:15:04.382212+00:00,excel_import
Absolute Aviation,training_provider,AB,Wetaskiwin,6118- 44 Avenue,T9A 1X8,(780) 352-7833,,http://wetaskiwinaerial.ca/,Other,True,48403099-6aea-4941-8665-d9d3b00d972a,2026-01-10T13:15:04.382776+00:00,excel_import
Wholistic Health Training & Research Centre,training_provider,AB,Edmonton,500 1050-112 Street,T5K 2J1,(780) 461-6708,,,,True,adf203f3-ad72-4517-8aa7-ef90368bfea3,2026-01-10T13:15:04.383323+00:00,excel_import
Women Building Futures,training_provider,AB,Edmonton,10326 - 107 Street Northwest,T5J 1K2,(780) 452-1200,,https://www.womenbuildingfutures.com/,"Education, Healthcare, Community, IT, Logistics, Arts",True,a0f6f46f-749c-4334-8be6-e160a1573def,2026-01-10T13:15:04.383890+00:00,excel_import
Yamnuska Inc.,training_provider,AB,Canmore,202-56 Lincoln Park,T1W 3E9,(403) 678-4164,,http://www.yamnuska.com/,"Education, IT, Childcare",True,a5c925ae-cfda-4096-9dc4-ca9f08a93b23,2026-01-10T13:15:04.384433+00:00,excel_import
Yeshiva Gedolah Zichron Shmayahu,training_provider,AB,Edmonton,10665 Jasper Avenue NW 14th Floor,T5J 3S9,(416) 789-7153,,,,True,c583074a-d847-4a3f-8697-549b1c09aeb6,2026-01-10T13:15:04.384991+00:00,excel_import
Yoga Association Of Alberta,training_provider,AB,Edmonton,11759 Groat Road,T5M 3K6,(780) 427-8776,,https://yoga.ca/,,True,4e75e3e8-705e-4784-8355-f53645d027fb,2026-01-10T13:15:04.385834+00:00,excel_import
Yoga For Today Ltd,training_provider,AB,Sherwood Park,206-2016 Sherwood Drive,T8A 3X3,(780) 416-4211,,,,True,cafd59f8-7259-4b43-8482-dca14ec1f66d,2026-01-10T13:15:04.386474+00:00,excel_import
Yoga Temple Inc.,training_provider,AB,Fort McMurray,188 Greenwich Lane,T9H 3Z3,(905) 442-5910,,,,True,bcc2d543-6be4-42ae-a127-74ab8e2f127a,2026-01-10T13:15:04.387128+00:00,excel_import
Automotive Training Centre,training_provider,BC,Surrey,12160 88th Avenue,V3W 3J2,(604) 635-2222,,http://www.autotrainingcentre.com/automechanic-auto-body-school-surrey/,"Education, Healthcare, Trades, IT, Logistics",True,7e7df996-ab14-45de-b496-a6fe1e4cf9a0,2026-01-10T13:15:04.387677+00:00,excel_import
1St Class Driving School Ltd.,training_provider,BC,Courtenay,2880 Lanyon Road,V9N 9N5,(250) 897-9875,,http://www.instructordarryl.com/,"Education, IT, Childcare, Logistics",True,7f560536-398c-4fa4-8bf8-65f45ff9fbef,2026-01-10T13:15:04.388236+00:00,excel_import
3M Ventures Ltd.,training_provider,BC,Prince George,2272 Nicholson Street S,V2N 1V8,(250) 614-2567,3mventuresltd@gmail.com,http://www.drive3m.ca/,,True,0ebc592d-cd0a-4d90-8b60-13945649d006,2026-01-10T13:15:04.388884+00:00,excel_import
49 North Helicopter Training Ltd.,training_provider,BC,Campbell River,2200 Airport Drive,V9H 0E2,(250) 926-9292,,https://www.49northhelicopters.com/,,True,262f9d18-2c47-4833-9752-18947b800472,2026-01-10T13:15:04.389420+00:00,excel_import
Santopietro Project Management,training_provider,BC,Delta,101-1658 Fosters Way,V3M 6S6,,,,,True,105bf572-c70b-44c8-9db5-0471ab854280,2026-01-10T13:15:04.390011+00:00,excel_import
Academy Of Learning College - Kamploops,college,BC,Kamloops,699 Victoria Street,V2C 2B3,(250) 372-5429,,http://www.aolcollege.com/,"Education, Healthcare, Community, Business, IT",True,e9460e32-02e5-4836-a649-10751b6d82ac,2026-01-10T13:15:04.390568+00:00,excel_import
Academy Of Learning College - Kelowna,college,BC,Kelowna,240A - 1640 Leckie Road,V1X 7C6,(250) 868-3688,,http://www.aolcollege.com/,"Education, Healthcare, Community, Business, IT",True,71056b68-eb86-45af-a4f6-af723a4d6656,2026-01-10T13:15:04.391123+00:00,excel_import
Academy Of Learning College - Nanaimo,college,BC,Nanaimo,7-1551 Estevan Road,V9S 3Y3,(250) 753-4220,,http://www.aolcollege.com/,"Education, Healthcare, Community, Business, IT",True,51f7b25f-215e-4a79-bff1-de1100bedd6c,2026-01-10T13:15:04.391649+00:00,excel_import
Academy Of Learning College - Surrey,college,BC,Surrey,102-13753  72nd Avenue,V3W 2P2,(604) 598-3555,,http://www.academyoflearning.com/locations_british_columbia_surrey.html,"Education, Healthcare, Business, IT, Culinary",True,25e27a18-4858-49b7-bb5e-42252d6a57a6,2026-01-10T13:15:04.392176+00:00,excel_import
Academy Of Learning College - Vancouver,college,BC,Vancouver,302-2555 Commercial Drive,V5N 4C1,(604) 876-8600,,http://www.academyoflearning.com/locations_british_columbia_vancouver_broadway.html,"Education, Healthcare, Business, IT, Culinary",True,ce6cb823-0cd6-41e0-b656-0e8dccc47622,2026-01-10T13:15:04.392704+00:00,excel_import
Accomplishment Coaching Canada,training_provider,BC,Victoria,40 Government St.,V8V 2K3,(250) 951-6460,linda@awakeningslifecoaching.ca,http://awakeningslifecoaching.ca/,,True,4c805d55-07b6-4882-bf0f-003dfd30a96e,2026-01-10T13:15:04.393205+00:00,excel_import
Aet Paramedic Academy Inc.,training_provider,BC,North Vancouver,14-1225 East Keith Road,V7J 1J3,(604) 922-2249,info@aetparamedic.ca,https://www.aetparamedic.ca/,"Education, Healthcare, IT",True,4fe9dbb3-942d-4250-8674-867850d0e893,2026-01-10T13:15:04.393723+00:00,excel_import
Airhart Aviation Inc.,training_provider,BC,Kelowna,1348 Water Street,V1Y 9P4,(250) 762-9830,info@air-hart.com,http://www.air-hart.com/,"Education, IT, Arts",True,1ef4917b-5a11-4171-845c-e0aa25698363,2026-01-10T13:15:04.394356+00:00,excel_import
Ajna Yoga,training_provider,BC,Victoria,209-250 Oak Bay Avenue,V8R 1G5,(250) 812-8355,,http://www.ajnayoga.ca/,"Education, Healthcare, IT",True,99d32ce5-27ab-4a22-833e-22597f53dc1b,2026-01-10T13:15:04.394925+00:00,excel_import
Alive Academy Of Natural Health,training_provider,BC,Richmond,100-12751 Vulcan Way,V6V 3C8,(604) 295-9333,,https://apg.alive.com/,,True,c924d423-16dd-4f27-acd3-8d04d151498e,2026-01-10T13:15:04.395482+00:00,excel_import
All Body Laser Corp. Training Institute,training_provider,BC,Port Coquitlam,2627 Shaughnessy Street #140,V3C 0E1,(604) 773-7515,,https://allbodylaser.com/,"Education, Healthcare, IT, Beauty",True,259d97ac-a651-4e02-86b0-8c6258ce9f17,2026-01-10T13:15:04.396061+00:00,excel_import
Alliance FranÃ£Â‡Aise De Vancouver,training_provider,BC,Vancouver,200-8555 Cambie Street,V6P 3J9,(604) 327-0201,info@alliancefrancaise.ca,https://www.alliancefrancaise.ca/en/,"Education, IT",True,341d35ee-983f-4fc4-adaa-2c06f3e32dd8,2026-01-10T13:15:04.396993+00:00,excel_import
Alvana Business Consulting Inc.,training_provider,BC,Vancouver,2108-1009 Expo Boulevard,V6Z 2V9,,,,,True,7a000809-b0e9-49af-85ea-f05bd6f33969,2026-01-10T13:15:04.397518+00:00,excel_import
Apna Professional Driving School Ltd.,training_provider,BC,Surrey,109-12815  85 Avenue,V3W 0K8,(604) 590-6330,apnatds@hotmail.com,http://www.apnaprodrivingschool.com/,"Education, IT, Logistics",True,61af8ef6-e456-4607-8a7b-39e66bedd87f,2026-01-10T13:15:04.398058+00:00,excel_import
Ashton College,college,BC,Vancouver,459-409 Granville Street,V6E 1T2,(604) 899-0803,,https://www.ashtoncollege.ca/,,True,5ddb72c8-ec1b-4375-badf-997d1e566a6b,2026-01-10T13:15:04.398557+00:00,excel_import
Ballet Victoria Society,training_provider,BC,Victoria,PO Box 8877 Station Central,V8W 3Z1,(250) 380-6063,,http://www.balletvictoria.ca/,"Community, Business",True,317c04c4-539c-42de-8cd1-962a42422882,2026-01-10T13:15:04.399139+00:00,excel_import
Bc Helicopters Ltd.,training_provider,BC,Abbotsford,1404 Townline Road,V2T 6E1,(604) 639-9090,admin@bchelicopters.com,http://www.bchelicopters.com/,"Education, IT",True,2b277330-6be0-42e8-9046-35c8ac9aaf34,2026-01-10T13:15:04.399711+00:00,excel_import
Bc Hydro Trades Training Centre,training_provider,BC,Surrey,12591  82nd Avenue,V3W 5Z9,(800) 224-9376,,https://www.bchydro.com/,,True,6420a124-5398-42bb-a092-ebb6eb7752d1,2026-01-10T13:15:04.400247+00:00,excel_import
Blanche Macdonald Centre,training_provider,BC,Vancouver,100-555 West 12th Avenue,V5Z 3X7,(604) 685-0347,,http://www.blanchemacdonald.com/,"Education, Business, IT, Beauty, Arts",True,7dbcd558-a329-41c0-8b05-d83a45c7cddd,2026-01-10T13:15:04.400913+00:00,excel_import
Blue Mountain Solutions,training_provider,BC,Victoria,4066 Licorice Lane,V8X 0A2,,,,,True,090b799a-6a0e-4871-876a-c9b186ae3f55,2026-01-10T13:15:04.401522+00:00,excel_import
Boma Building Owners And Managers Association British Columbia,training_provider,BC,Vancouver,556-409 Granville Street,V6C 1T2,(604) 684-3916,,http://www.boma.bc.ca/,Other,True,916eab7e-54a6-4fa7-83ca-eb47c4512905,2026-01-10T13:15:04.402114+00:00,excel_import
Bp Aviation Ltd.,training_provider,BC,Penticton,3390 Airport Road,V2A 8X1,(778) 476-5528,fly@bpaviation.ca,http://www.bpaviation.ca/,"Education, IT",True,662cf367-c18c-4658-9f16-136c27bc1702,2026-01-10T13:15:04.402676+00:00,excel_import
"Brainstation Inc. - Granville St., Vancouver",training_provider,BC,Vancouver,Unit 400 455 Granville Street,V6C 1T1,(604) 200-9796,example@gmail.com,https://brainstation.io/vancouver,"Education, Healthcare, Business, IT, Childcare",True,3612b8c8-7585-4014-a3e9-a9c75bd10b6a,2026-01-10T13:15:04.403227+00:00,excel_import
British Columbia College Of Equine Therapy,college,BC,Vernon,7184 L & A Road,V1B 3S8,(250) 542-5953,,,,True,e2333a6c-1622-4f63-b7da-304dbdaad7b4,2026-01-10T13:15:04.403794+00:00,excel_import
British Columbia Conservatory Of Music,training_provider,BC,Burnaby,4549 E. Hastings Street,V5C 2K3,(604) 299-2984,,http://www.bccmusic.ca/,"Education, IT, Arts",True,2f7020df-fecb-47a1-a73c-547908a265ee,2026-01-10T13:15:04.404342+00:00,excel_import
British Columbia Wall & Ceiling Association,training_provider,BC,Surrey,112-18663 52nd Avenue,V3S 8E5,(604) 575-0511,,http://www.bcwca.org/,"Education, Trades, IT",True,f0de1ed2-e294-4327-860e-e07e020d3629,2026-01-10T13:15:04.404937+00:00,excel_import
Burnaby Professional Driving School Inc.,training_provider,BC,Burnaby,5004 Still Creek Avenue,V5C 4E4,(604) 291-2255,,http://www.burnabypro.ca/,"Education, Healthcare, IT, Logistics",True,4eca3df5-bf7a-4833-8d83-1ffd5b5f3c64,2026-01-10T13:15:04.405506+00:00,excel_import
Glacier Air,training_provider,BC,Squamish,PO Box 2014  46001 Government Road,V8B 0B4,(604) 898-9016,,https://glacierair.com/,,True,3f04f2a2-214d-4061-bdfb-a5739fb4ab29,2026-01-10T13:15:04.406059+00:00,excel_import
Campbell River Tax Services Inc.,training_provider,BC,Campbell River,1250B Ironwood Street,V9W 6H5,(250) 287-7173,,https://www.lauriemclark.com/?utm_source=Google+Business+Profile,,True,761f80ac-baae-4016-bbfc-545ce8d9d7b0,2026-01-10T13:15:04.406598+00:00,excel_import
Canadian Acupressure College Inc.,college,BC,Nanaimo,1046B Shelby Ann Avenue,V9R 0H8,(250) 480-6679,,https://www.acupressureshiatsuschool.com/contact-us/,"Education, IT",True,6d7b58aa-bb28-4004-8311-6d5b969d2bd8,2026-01-10T13:15:04.407475+00:00,excel_import
Canadian Avalanche Association,training_provider,BC,Revelstoke,110 MacKenzie Avenue,V0E 2S0,(250) 837-2435,,http://www.avalancheassociation.ca/,,True,7deb53f5-898a-4485-b31e-07bc0d1eba82,2026-01-10T13:15:04.408300+00:00,excel_import
Canadian College,college,BC,Vancouver,200-1050 Alberni St.,V6E 1A3,(604) 688-9366,,http://www.canadiancollege.com/,"Healthcare, Trades, Business, IT, Culinary",True,1f7ee0cb-db25-4c8f-a225-c36b209fbcbd,2026-01-10T13:15:04.409141+00:00,excel_import
Canadian College Of Shiatsu Therapy Inc.,college,BC,North Vancouver,142 Lonsdale Avenue,V7M 2E8,(604) 904-4187,,http://www.shiatsuvancouver.ca/,"Education, IT, Beauty, Arts",True,a69ca2b6-3f4a-46ef-8d2d-01b3c6333e63,2026-01-10T13:15:04.409975+00:00,excel_import
Canadian Flight Centre Inc.,training_provider,BC,Pitt Meadows,603-11715 Baynes Road,V3Y 2V1,(604) 946-7744,inquiries@cfc.aero,http://www.cfc.aero/,"Education, IT",True,857aaf08-c5d8-4a18-bd92-8a30a8ae1948,2026-01-10T13:15:04.410807+00:00,excel_import
Canadian Institute For Nde,training_provider,BC,Langley,20353-64 Avenue,V2Y 1N5,,,,,True,42f8ace5-6b0c-4471-ba39-99398d9ff030,2026-01-10T13:15:04.411613+00:00,excel_import
Canadian Institute Of Reflexology Inc.,training_provider,BC,Richmond,211-7080 River Road,V6X 1X5,(306) 525-6199,chrisshirley@pacificreflexology.com,http://pacificreflexology.com/,"Education, IT",True,a5e9d599-1ad0-4897-a131-eae81f878839,2026-01-10T13:15:04.412434+00:00,excel_import
Canadian Reflexology School,training_provider,BC,Victoria,4268 Moorpark Place,V8Z 6P2,(250) 920-8687,westcoastreflexology@gmail.com,http://www.westcoastreflexology.com,"Education, IT",True,5bdee88d-1816-4a8a-b0e1-b1623552a3ac,2026-01-10T13:15:04.413278+00:00,excel_import
Canadian School Of Natural Nutrition - Kelowna,training_provider,BC,Kelowna,102-1626 Richter Street,V1Y 2M3,(250) 862-2766,,http://www.csnn.ca/,"Education, Healthcare, Business, IT",True,3d690604-da3c-469f-a6e1-371edb98bfea,2026-01-10T13:15:04.414135+00:00,excel_import
Canadian School Of Natural Nutrition - Nanaimo,training_provider,BC,Victoria,208-3045 Douglas Street,V8T 4N2,,,,,True,073fcb0c-17e7-4564-952e-c1ff74d13224,2026-01-10T13:15:04.414970+00:00,excel_import
Canadian Second Language Institute,training_provider,BC,Vancouver,188 Nelson Street,V6B 6J8,(604) 683-2754,,https://languages.lcieducation.com/,"Education, Community, IT",True,514c3919-0fdc-4b2b-be7d-8a39d7310bf7,2026-01-10T13:15:04.415823+00:00,excel_import
Canadian Society Of Immigration Consultants (Csic),training_provider,BC,Burnaby,501-3292 Production Way,V5A 4R4,(604) 436-9525,,http://www.cicsimmigration.com/,"Education, Trades",True,4c0c2710-cc18-461d-bc88-8cf558de1d66,2026-01-10T13:15:04.416662+00:00,excel_import
Canadian Southwestern College Ltd.,college,BC,Richmond,10011 Blundell Road,V6Y 2K9,(604) 279-5713,admissions@canadiansouthwesterncollege.ca,http://canadiansouthwesterncollege.ca/,"Education, Healthcare, IT, Childcare",True,cdd85f30-883c-4d2f-bddc-3645da7284a1,2026-01-10T13:15:04.417517+00:00,excel_import
Canadian Tourism College - Surrey,college,BC,Surrey,320-10362 King George Blvd.,V3T 2W5,(604) 582-1122,,https://tourismcollege.com/contact/,,True,c8967578-b296-45b8-835a-943a8eb2e0a0,2026-01-10T13:15:04.418340+00:00,excel_import
Canadian Tourism College - Vancouver,college,BC,Vancouver,200-1111 Melville Street,V6E 3V6,(604) 736-8000,support@tourismcollege.com,https://www.tourismcollege.com/,,True,d0540891-aa71-4b6d-a498-0102d0f70e84,2026-01-10T13:15:04.419172+00:00,excel_import
Canscribe Career Centre Inc.,training_provider,BC,Kelowna,1226 Ellis Street,V1Y 1Z4,(800) 466-1535,info@canscribe.com,https://canscribe.com/,"Education, Business, IT",True,2287616b-3163-4130-a3b1-fda227ecabf0,2026-01-10T13:15:04.420015+00:00,excel_import
Capital College,college,BC,Richmond,4400 Hazelbridge Way #540,V6X 3R8,(604) 270-7426,,http://www.capitalcollege.ca/,"Education, IT, Childcare",True,9bfffc8f-17c4-418c-8236-122c5aeeb992,2026-01-10T13:15:04.420859+00:00,excel_import
Care Institute Of Safety & Health Inc.,training_provider,BC,Vancouver,1770 East 18th Avenue,V5N 5P6,(604) 873-6018,elaine@care-institute.com,http://www.care-institute.com/,"Education, Healthcare, Trades, Business, IT",True,6e7de4e8-5257-4c4a-a2eb-70b0d6f6b4aa,2026-01-10T13:15:04.421716+00:00,excel_import
Carey Theological College,college,BC,Vancouver,5920 Iona Drive,V6T 1J6,(604) 225-5920,info@carey-edu.ca,https://carey-edu.ca/,"Education, Healthcare, Business, IT",True,4cc2b43d-5a47-415c-9eab-42676f5235d5,2026-01-10T13:15:04.422455+00:00,excel_import
Cariboo Driver Training,training_provider,BC,Williams Lake,14-704 Dog Creek Road,V2G 1K7,(250) 305-9705,,http://www.cariboodrivertraining.com/,"Education, IT, Logistics",True,bfbdffa6-ba01-4d53-af85-36e4675f1649,2026-01-10T13:15:04.423052+00:00,excel_import
Center For Arts And Technology,training_provider,BC,Kelowna,1632 Dickson Avenue,V1Y 7T2,(250) 860-2787,inquire@collegeforartsandtech.com,https://collegeforartsandtech.com/,Healthcare,True,ce7cd6bc-7b65-4cbe-baaf-d7f84a2b6b09,2026-01-10T13:15:04.423607+00:00,excel_import
Centre For Advanced Montessori Studies Of Vancouver,training_provider,BC,Vancouver,7128 Kerr Street,V5S 4W2,(604) 261-0864,,https://www.mtcbc-ami.org/,"Education, IT, Childcare",True,747fa939-1bbd-4b8d-b372-f795271bf898,2026-01-10T13:15:04.424222+00:00,excel_import
Centre For Spiritual Living Kelowna,training_provider,BC,Kelowna,131  101-1865 Dilworth Drive,V1Y 9T1,(250) 575-4465,,http://www.cslkelowna.org/,Other,True,f5c1d9e3-a196-4433-87d1-8fa5a98672be,2026-01-10T13:15:04.424854+00:00,excel_import
Certified Tax Preparers Inc.,training_provider,BC,Coquitlam,375 Water Street #200,V3B 0M9,(604) 428-1861,,https://canadataxpros.com/,,True,57322aa5-0242-4ab8-bab7-389c2a5dd0ad,2026-01-10T13:15:04.425485+00:00,excel_import
Cfe Success Inc.,training_provider,BC,Vancouver,1175 Victoria Drive,V5L 4G4,,,,,True,daf13e97-e674-423b-b225-305625d24784,2026-01-10T13:15:04.426092+00:00,excel_import
Chartered Global Practising Accountants Of Canada,training_provider,BC,White Rock,208A 1526 Finlay Street,V4B 4L9,(236) 591-6712,,http://cgpaglobal.ca/,"Healthcare, IT",True,19b85cf3-9ab9-4502-aad2-5fabad9cfe09,2026-01-10T13:15:04.426671+00:00,excel_import
Chartered Professional Accountants (Cpa) Bc,training_provider,BC,Vancouver,800-555 West Hasting Street,V6B 4N6,(604) 872-7222,,http://www.bccpa.ca/,"Education, Healthcare, Business, IT",True,12cb873a-1c8b-4e80-8239-5f45c39452d2,2026-01-10T13:15:04.427221+00:00,excel_import
Chilliwack Flight Centre Inc.,training_provider,BC,Chilliwack,46244 Airport Road #6,V2P 1A5,(604) 799-9266,,http://www.chilliwackflightcentre.com/,"Education, IT",True,42acefba-5c14-4992-b04e-a6c8921e317f,2026-01-10T13:15:04.427757+00:00,excel_import
Chinook Helicopters (1982) Ltd.,training_provider,BC,Abbotsford,30720 Rotor Drive,V2T 6H5,(888) 855-1101,,http://www.chinookhelicopters.com/,"Education, Healthcare, Business, IT, Arts",True,5460d705-9be0-48de-9e47-60f3c4ea843c,2026-01-10T13:15:04.428283+00:00,excel_import
Classic Aviation Ltd,training_provider,BC,Pitt Meadows,101-18799 Airport Way,V3Y 2B4,(604) 460-1588,,http://www.classicaviation.ca/,"Education, IT",True,35e59be5-508b-4ff3-adce-7cdb1fff0296,2026-01-10T13:15:04.428837+00:00,excel_import
Coast Wilderness Training Incorporated,training_provider,BC,Vancouver,8168 Granville Street #209,V6P 4Z4,(236) 885-6700,,http://wildernessfirstaidtraining.ca/,,True,8f35df50-a8ed-47b0-a92b-f1e6eef07e18,2026-01-10T13:15:04.429355+00:00,excel_import
Coastal College Of Bc Ltd.,college,BC,New Westminster,1155 Sparks Court,V6M 6S1,(604) 553-8585,,http://coastalcollegeofbc.com/,,True,b734d415-25ca-4fda-9732-d66ccaa0a047,2026-01-10T13:15:04.429939+00:00,excel_import
"Coastal Pacific Aviation Ltd. - Abbotsford, Bc",training_provider,BC,Abbotsford,30575 Approach Drive,V2T 6H5,(604) 855-1112,info@coastalpacific.com,https://www.coastalpacific.com/,"Education, IT",True,b47ac66b-8168-4f67-9980-f67154d3a3e2,2026-01-10T13:15:04.430476+00:00,excel_import
College Educacentre College,college,BC,Vancouver,842 Thurlow Street,V6E 1W2,(604) 708-5100,info@educacentre.com,http://www.educacentre.com/,"Education, IT",True,3c0b8c04-2f7d-4176-895a-cac2b2eb61f7,2026-01-10T13:15:04.431037+00:00,excel_import
Columbia Bible College,college,BC,Abbotsford,2940 Clearbrook Road,V2T 2Z8,(604) 853-3358,info@columbiabc.edu,http://www.columbiabc.edu/,Education,True,835b456e-9d76-40f4-aaae-f5d55b7040bd,2026-01-10T13:15:04.431554+00:00,excel_import
Coquitlam Continuing Education,training_provider,BC,Coquitlam,380 Montgomery Street,V3K 5G2,(604) 936-4261,,http://www.ce43.ca/,,True,517852dd-21e4-499b-879f-8e5f8f8ab3e3,2026-01-10T13:15:04.432078+00:00,excel_import
Cstt Complete School Of Truck Transportation Ltd.,training_provider,BC,Sidney,2061 Mills Road West,V8L 5X4,(250) 655-0432,info@csttdrivertraining.com,http://www.csttdrivertraining.com/,"Education, Healthcare, IT, Childcare, Logistics",True,87716a16-627c-4009-adec-b992a698b69b,2026-01-10T13:15:04.432612+00:00,excel_import
D.S.R.F. Down Syndrome Resource Foundation,training_provider,BC,Burnaby,1409 Sperling Avenue,V5B 4J8,(604) 444-3773,info@dsrf.org,https://dsrf.org/,Other,True,d798a897-bfee-41da-affa-b2bbe8f58c66,2026-01-10T13:15:04.433143+00:00,excel_import
"Delta School District, Continuing Education Branch",training_provider,BC,Delta,4750-57 Street,V4K 3C9,(604) 594-6100,info@deltaschools.ca; continuingeducation@deltaschools.ca,https://www.deltasd.bc.ca/programs/continuing-education/,"Education, Community, IT, Childcare",True,31b46da4-625a-4b53-a2dd-916ac57c0a13,2026-01-10T13:15:04.433658+00:00,excel_import
Diving Dynamics,training_provider,BC,Kelowna,1884 Ambrosi Road,V1Y 4R9,(250) 861-1848,,http://www.divingdynamics.com/,"Education, IT",True,e8bcf18e-1d43-4a81-b7c9-f44b495be515,2026-01-10T13:15:04.434172+00:00,excel_import
Dominion Herbal College,college,BC,Burnaby,5489 Byrne Road #271,V5J 3J1,(604) 433-1926,info@dominionherbalcollege.com,https://www.dominionherbalcollege.com/,"Education, IT, Arts",True,eee8bc12-d88b-4169-8192-0404b2a2bbe6,2026-01-10T13:15:04.434687+00:00,excel_import
Done Right Driving School Ltd.,training_provider,BC,Clearwater,21-1023 Scott Drive,V0E 1N2,(888) 674-2755,,https://www.donerightdriving.ca/,,True,9c148ac5-c427-44a0-b340-6a3692d81677,2026-01-10T13:15:04.435202+00:00,excel_import
